cbsa10,cbsaname10,responses,restrict_sf_permit,restrict_mf_permit,limit_sf_units,limit_mf_units,limit_mf_dwellings,limit_mf_dwelling_units,min_lot_size,open_space,inclusionary,half_acre_less,half_acre_more,one_acre_more,two_acre_more,total_nz,total_rz,maxden5,maxden4,maxden3,maxden2,maxden1,adu,height_ft_median,height_ft_mode,height_st_median,height_st_mode,parking_median,parking_mode,zri_median,zri_range,zri_median_up,zri_range_up,zri_median_st,zri_range_st,zri_median_up_st,zri_range_up_st,cc_zri,noncc_zri_max,zri_diff,zri_abs_diff,zri_full,zri_full_st
25420,"Harrisburg-Carlisle, PA Metropolitan Statistical Area",14,0,0,0,0,0,0,1,0.928571429,0,0.428571429,0,0.357142857,0.214285714,1.857142857,2.928571429,0.142857143,0.642857143,0.142857143,0.071428571,0,0.5,36.15384615,33.53846154,2.35,2.2,1.426785714,1.214285714,2.03371939,2.262629235,1.481859087,1.590135474,-0.021699012,0.693344417,-0.199326156,0.46244484,NA,NA,NA,NA,NA,NA
25500,"Harrisonburg, VA Metropolitan Statistical Area",1,0,0,0,0,0,0,1,1,0,1,0,0,0,2,3,0,1,0,0,0,0,35,35,3,3,2,4,1.476116591,0,0.865562843,0.610553748,-0.75545046,-1.146343219,-1.008824648,-0.593979071,1.476116591,NA,NA,NA,NA,NA
25540,"Hartford-West Hartford-East Hartford, CT Metropolitan Statistical Area",26,0,0,0,0,0,0,1,0.884615385,0.615384615,0,0.230769231,0.269230769,0.5,1.538461538,2.615384615,0.230769231,0.307692308,0.153846154,0.153846154,0.153846154,0.846153846,33.07692308,32.73076923,3.25,2.921052632,1.816346154,2.130769231,2.274929512,3.036024323,1.953245035,2.633802786,0.295710221,1.322172754,0.41983422,1.587981458,NA,NA,NA,NA,NA,NA
25860,"Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area",4,0,0,0,0,0,0,1,0.5,0,0.25,0,0.5,0.25,1.5,3,0.25,0.25,0.5,0,0,0.5,29.375,28,6.5,6.75,2.34375,2.5,1.261798827,2.037268469,0.813405177,1.656416899,-1.037471946,0.510109175,-1.077333183,0.533925636,2.99781227,1.519585221,-1.478227049,1.478227049,-0.216428222,-1.716523106
25940,"Hilton Head Island-Beaufort, SC Micropolitan Statistical Area",3,0,0,0,0,0,0,1,0.666666667,0.666666667,0,0,0.666666667,0.333333333,3,3,0.333333333,0.333333333,0,0,0.333333333,0.666666667,28.5,33.33333333,2.5,2,1.633333333,1.533333333,3.131771312,2.763554864,2.679637182,1.781921812,1.423231304,1.100634604,1.373942498,0.669275641,3.500418059,1.105509942,-2.394908117,2.394908117,0.736863195,-1.050527367
25980,"Hinesville-Fort Stewart, GA Metropolitan Statistical Area",1,0,0,0,0,0,0,1,1,0,1,0,0,0,3,2,0,0,1,0,0,0,35,35,4.5,5,2,1,1.37125028,0,0.801175782,0.570074497,-0.893444401,-1.146343219,-1.09339636,-0.637633671,1.37125028,NA,NA,NA,NA,NA
26100,"Holland-Grand Haven, MI Metropolitan Statistical Area",4,0,0,0,0,0,0,1,0.75,0,0.5,0.5,0,0,2.5,3,0.25,0.5,0,0,0.25,0.5,36.25,35,1.666666667,1.666666667,1.75,1.75,1.870137715,2.683984639,1.07062629,2.296115732,-0.236956703,1.03593803,-0.739476015,1.223804924,NA,NA,NA,NA,NA,NA
26300,"Hot Springs, AR Metropolitan Statistical Area",1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,35,60,3,3,2,2,1.560394773,0,1.257001494,0.303393279,-0.64454851,-1.146343219,-0.494674188,-0.925234397,1.560394773,NA,NA,NA,NA,NA
26420,"Houston-Sugar Land-Baytown, TX Metropolitan Statistical Area",20,0,0,0,0,0,0,1,0.4,0.05,0.65,0.1,0.2,0.05,1.9,2.45,0.45,0.45,0.05,0.05,0,0.4,32.4,49,2.394736842,2.184210526,2.828947368,2.513157895,1.227828669,2.886708398,0.833777268,2.415547837,-1.082173394,1.200767684,-1.05057466,1.352605745,1.054979349,2.99781227,1.942832921,1.942832921,3.17066159,0.649791476
26580,"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area",1,0,0,0,0,0,0,1,1,0,1,0,0,0,2,2,1,0,0,0,0,0,35,35,3,3,1.5,1,1.665593925,0,1.068449795,0.59714413,-0.506116582,-1.146343219,-0.742334818,-0.608440591,1.665593925,NA,NA,NA,NA,NA
