GEOID,statename,place,type,restrict_sf_permit,restrict_mf_permit,limit_sf_units,limit_mf_units,limit_mf_dwellings,limit_mf_dwelling_units,min_lot_size,open_space,inclusionary,half_acre_less,half_acre_more,one_acre_more,two_acre_more,max_den_cat1,max_den_cat2,max_den_cat3,max_den_cat4,max_den_cat5,council_nz,planning_nz,countybrd_nz,pubhlth_nz,site_plan_nz,env_rev_nz,council_rz,planning_rz,zoning_rz,countybrd_rz,countyzone_rz,townmeet_rz,env_rev_rz,total_nz,total_rz,adu,height_ft_median,height_ft_mode,height_st_median,height_st_mode,parking_median,parking_mode,mf_per,maxden5,maxden4,maxden3,maxden2,maxden1,sindex1,sindex2,sindex3,sindex4,sindex5,sindex6,sindex7,sindex8,height_st_median_sc,height_st_mode_sc,sindex9,sindex10,sindex11,sindex9_st,sindex10_st,zri,zri_st,add_index,zri_up,zri_up_st,wt_all_2019,st_wt_all_2019,wt_msa_2019,st_wt_msa_2019,wt_lmsa_2019,st_wt_lmsa_2019,timestamp
4217720,PA,Cumru,Township,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,1,35,35,NA,NA,2,2,0.833333333,0,0,1,0,0,0,1,4,2,3,3,0,1,NA,NA,35,2,0.833333333,0.049086297,0.164805906,2.30762747,0.365159436,14,2.047978625,0.56532206,8.476896744,0.535975143,6.824817055,0.773696892,NA,NA,3/9/2021 13:22
4218072,PA,Dallastown,Borough,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,0,30,30,2.5,2.5,1,1,0.5,1,0,0,0,0,0,0,1,0,3,1,0,0,35,35,30,1,0.5,-0.347493905,-0.882429958,0.513953891,-1.540222094,5,0.193391424,-1.551385632,15.37621495,0.972203538,12.2488248,1.388590727,NA,NA,7/12/2019 15:26
4218136,PA,Danville,Borough,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,0,27.5,35,4,4,2,2,0.333333333,0,0,1,0,0,0,1,1,2,3,3,0,0,56,56,27.5,2,0.333333333,-0.545784005,0.164805906,1.131024191,-0.884721358,10,0.54153047,-1.154041902,3.783950413,0.239250686,3.657389549,0.414620774,NA,NA,8/12/2020 22:40
4218160,PA,Darby,Township,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,2,0,35,35,NA,NA,2,2,0.333333333,1,0,0,0,0,0,0,1,1,2,1,0,0,NA,NA,35,2,0.333333333,0.049086297,0.164805906,0.75417998,-1.285034998,5,0.366903363,-1.353350159,12.06160339,0.762628093,8.175803325,0.926851749,8.994715701,1.389236195,1/6/2022 14:32
4219672,PA,DouglassTownship,Township,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,3,0,25,15,4.5,6,3,1,0.5,1,0,0,0,0,0,1,3,1,3,1,0,0,63,84,25,3,0.5,-0.744074106,1.21204177,2.209770022,0.261207537,9,1.376755676,-0.200769056,12.48892476,0.789646664,10.89766508,1.235416208,6.345167622,0.9800128,1/4/2022 15:35
4220432,PA,Duquesne,City,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,0,35,35,4,4,1,1,0,0,1,0,0,0,0,0,1,2,3,2,0,0,56,56,35,1,0,0.049086297,-0.882429958,0.960543801,-1.065819072,8,0.393923058,-1.3225116,4.8376211,0.305871917,3.374217774,0.382518943,2.908688669,0.281279783,12/16/2021 16:22
4221200,PA,EastGreenville,Borough,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,0,19,15,4,4,2,2,0.25,1,0,0,0,0,0,1,3,2,3,1,0,0,56,56,19,2,0.25,-1.219970348,0.164805906,2.605611177,0.68170123,10,1.685898709,0.152067108,9.488537115,0.599938891,8.518488845,0.965700368,4.753684654,0.734207839,8/12/2020 23:05
4221480,PA,EastMarlborough,Township,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,2,2,1,35,35,3,3,2,2,0.25,1,0,0,0,0,0,1,3,2,2,1,0,1,42,42,35,2,0.25,0.049086297,0.164805906,2.449996111,0.516394634,10,2.1688642,0.703293155,5.374882297,0.339841736,4.691745789,0.531880797,7.629438382,1.178368755,8/12/2020 23:24
4221600,PA,EastNorriton,Township,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,3,0,35,35,4,3,2,2,1,0,1,0,0,0,0,1,2,1,3,2,0,0,56,42,35,2,1,0.049086297,0.164805906,1.472476529,-0.522003757,9,0.946438242,-0.691905964,8.417003564,0.532188231,6.861934066,0.77790467,9.271515736,1.431988032,12/16/2021 16:27
4221696,PA,EastPikeland,Township,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,3,3,1,35,35,3,3,2,1,0.615384615,1,0,0,0,0,0,1,4,3,3,1,0,1,42,42,35,2,0.615384615,0.049086297,0.164805906,3.393653426,1.518821853,13,2.816619502,1.442599795,7.518150806,0.47535579,6.108959536,0.692543546,5.650645672,0.872743703,8/12/2020 23:40
