"state","placefp","cbsa10","stab","placenm","cbsaname10","pop10","afact"
"State code","Place code","CBSA (2010)","State abbreviation","Place name","2010 CBSA name","Population (2010)","placefp to cbsa10 allocation factor"
"01","17368","13820","AL","Cordova city, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",2095,1 
"01","17824","20020","AL","Cottonwood town, AL","Dothan, AL Metropolitan Statistical Area",1289,1 
"01","17968","13820","AL","County Line town, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",258,1 
"01","18040","19460","AL","Courtland town, AL","Decatur, AL Metropolitan Statistical Area",609,1 
"01","18088","20020","AL","Cowarts town, AL","Dothan, AL Metropolitan Statistical Area",1871,1 
"01","18304","33660","AL","Creola city, AL","Mobile, AL Metropolitan Statistical Area",1926,1 
"01","18856","22840","AL","Crossville town, AL","Fort Payne, AL Micropolitan Statistical Area",1862,1 
"01","18952","99999","AL","Cuba town, AL","99999",346,1 
"01","18976","18980","AL","Cullman city, AL","Cullman, AL Micropolitan Statistical Area",14775,1 
"01","19024","99999","AL","Cullomburg CDP, AL","99999",171,1 
"01","19216","46740","AL","Cusseta town, AL","Valley, AL Micropolitan Statistical Area",123,1 
"01","19336","10760","AL","Dadeville city, AL","Alexander City, AL Micropolitan Statistical Area",3230,1 
"01","19360","21460","AL","Daleville city, AL","Enterprise-Ozark, AL Micropolitan Statistical Area",5295,1 
"01","19648","19300","AL","Daphne city, AL","Daphne-Fairhope-Foley, AL Micropolitan Statistical Area",21570,1 
"01","19744","33660","AL","Dauphin Island town, AL","Mobile, AL Metropolitan Statistical Area",1238,1 
"01","19816","10760","AL","Daviston town, AL","Alexander City, AL Micropolitan Statistical Area",214,1 
"01","19912","99999","AL","Dayton town, AL","99999",52,1 
"01","20008","33860","AL","Deatsville town, AL","Montgomery, AL Metropolitan Statistical Area",1154,1 
"01","20104","19460","AL","Decatur city, AL","Decatur, AL Metropolitan Statistical Area",55599,0.998 
"01","20104","26620","AL","Decatur city, AL","Huntsville, AL Metropolitan Statistical Area",84,0.002 
"01","20152","99999","AL","Deer Park CDP, AL","99999",188,1 
"01","20272","99999","AL","Delta CDP, AL","99999",197,1 
"01","20296","99999","AL","Demopolis city, AL","99999",7483,1 
"01","20392","99999","AL","Detroit town, AL","99999",237,1 
"01","20955","18980","AL","Dodge City town, AL","Cullman, AL Micropolitan Statistical Area",593,1 
"01","21136","13820","AL","Dora city, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",2025,1 
"01","21184","20020","AL","Dothan city, AL","Dothan, AL Metropolitan Statistical Area",64609,0.986 
"01","21184","21460","AL","Dothan city, AL","Enterprise-Ozark, AL Micropolitan Statistical Area",887,0.014 
"01","21280","99999","AL","Double Springs town, AL","99999",1083,1 
"01","21328","10700","AL","Douglas town, AL","Albertville, AL Micropolitan Statistical Area",744,1 
"01","21448","99999","AL","Dozier town, AL","99999",329,1 
"01","21890","13820","AL","Dunnavant CDP, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",981,1 
"01","21952","42460","AL","Dutton town, AL","Scottsboro, AL Micropolitan Statistical Area",315,1 
"01","22216","99999","AL","East Brewton city, AL","99999",2478,1 
"01","22504","18980","AL","East Point CDP, AL","Cullman, AL Micropolitan Statistical Area",201,1 
"01","22816","33860","AL","Eclectic town, AL","Montgomery, AL Metropolitan Statistical Area",1001,1 
"01","23032","13820","AL","Edgewater CDP, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",883,1 
"01","23176","99999","AL","Edwardsville town, AL","99999",202,1 
"01","23224","23460","AL","Egypt CDP, AL","Gadsden, AL Metropolitan Statistical Area",932,1 
"01","23296","21460","AL","Elba city, AL","Enterprise-Ozark, AL Micropolitan Statistical Area",3940,1 
"01","23320","19300","AL","Elberta town, AL","Daphne-Fairhope-Foley, AL Micropolitan Statistical Area",1498,1 
"01","23344","13820","AL","Eldridge town, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",130,1 
"01","23488","26620","AL","Elkmont town, AL","Huntsville, AL Metropolitan Statistical Area",434,1 
"01","23656","33860","AL","Elmore town, AL","Montgomery, AL Metropolitan Statistical Area",1262,1 
"01","23872","99999","AL","Emelle town, AL","99999",53,1 
"01","23880","33860","AL","Emerald Mountain CDP, AL","Montgomery, AL Metropolitan Statistical Area",2561,1 
"01","24184","21460","AL","Enterprise city, AL","Enterprise-Ozark, AL Micropolitan Statistical Area",26562,1 
"01","24256","99999","AL","Epes town, AL","99999",192,1 
"01","24472","99999","AL","Ethelsville town, AL","99999",81,1 
"01","24568","21640","AL","Eufaula city, AL","Eufaula, AL-GA Micropolitan Statistical Area",13137,1 
"01","24616","20020","AL","Eunola CDP, AL","Dothan, AL Metropolitan Statistical Area",243,1 
